series_id,reference,percent_change_employment_previous,percent_change_imputed
CES8081320001,186.2,-0.0569280343716434,-0.04727705605329324
CES8081330001,241.2,-0.08043117744610273,-0.07078019912775257
CES8081340001,388.2,-0.3964451313755796,-0.3867941530572294
CES8081390001,485.6,-0.03418451400329492,-0.024533535684944763
CES1011330001,54.5,-0.06055045871559628,-0.07155963302752288
CES1021100001,156.6,-0.008939974457215838,-0.003831417624520994
CES1021210001,50.4,-0.0892857142857143,-0.10317460317460314
CES1021220001,40.8,-0.009803921568627416,-0.004901960784313597
CES1021230001,97.4,-0.03696098562628347,-0.03490759753593431
CES1021300001,314.5,-0.2569157392686805,-0.26200317965023845
CES2000000001,7639,-0.057206440633590816,-0.054064668150281436
CES3231300001,106.5,-0.13521126760563384,-0.1192488262910798
CES3231400001,111.3,-0.09433962264150941,-0.0835579514824798
CES3231500001,105,-0.20952380952380956,-0.18380952380952376
CES3232300001,417.2,-0.12727708533077653,-0.135666347075743
CES3133410001,169.3,0.0011813349084464075,0.0041346721795627595
CES3133450001,433.1,-0.018933271761717996,-0.016162549064881127
CES3133700001,386.4,-0.09679089026915111,-0.08695652173913038
CES4244110001,1309.4,-0.09424163739117164,-0.07973117458377887
CES4244120001,165.6,-0.09541062801932354,-0.07004830917874394
CES4244130001,588.7,-0.03686087990487519,-0.03210463733650426
CES4244200001,470.7,-0.1555130656469088,-0.1321436158912258
CES4244700001,947.2,-0.03705658783783783,-0.031144425675675658
CES4245220001,1078.5,-0.05554010199350945,-0.02243857209086697
CES4245230001,1968.3,0.05842605293908454,0.10125489000660459
CES4348100001,511.2,-0.22652582159624413,-0.20598591549295775
CES4348200001,159.9,-0.091307066916823,-0.08755472170106315
CES4348300001,64.9,-0.15254237288135597,-0.1556240369799693
CES4348400001,1527.3,-0.057290643619459125,-0.05093956655535914
CES4348600001,50.5,-0.00990099009900991,-0.015841584158415745
CES4348700001,36.7,-0.4359673024523162,-0.42779291553133525
CES4348800001,763.8,-0.11979575805184606,-0.11050013092432576
CES9091912001,601.6,-0.005651595744680771,0.002493351063829863
CES4349200001,847.8,0.08256664307619732,0.09400802075961323
CES4349300001,1207.8,-0.017055803941049774,0.013578407021030081
CES5051200001,456.3,-0.5310103002410695,-0.47534516765285995
CES5051500001,263.3,-0.09191036840106348,-0.08051652107861762
CES5051800001,349.6,-0.02431350114416475,-0.03289473684210531
CES5051900001,354.4,0.003103837471783333,0.0011286681715576563
CES5552300001,968.8,6.193228736581791e-4,0.0014450867052024918
CES6054110001,1162.7,-0.04670164272813271,-0.04455147501505108
CES6054120001,1038,-0.02437379576107901,-0.02678227360308283
CES6054130001,1539.8,-0.044875957916612474,-0.03454994155085078
CES6054140001,145.1,-0.08959338387319093,-0.08132322536181935
CES6054150001,2252.7,-0.04372530740888714,-0.03857593110489621
CES6054160001,1561.1,-0.044968291589263854,-0.04150919223624361
CES6054170001,749.5,-0.012808539026017418,-0.0026684456304202353
CES6054180001,492.6,-0.09581810799837609,-0.1039382866423062
CES6055000001,2447.3,-0.045233522657622816,-0.04437543415192269
CES6056130001,3650.2,-0.18418168867459306,-0.15114240315599137
CES6056140001,869.4,-0.12433862433862441,-0.11065102369450186
CES6056150001,222.5,-0.28674157303370795,-0.3002247191011237
CES6056160001,970.2,-0.07101628530199966,-0.06761492475778197
CES6056200001,467,-0.03340471092077091,-0.03083511777301917
CES6562110001,2722.9,-0.04811047045429506,-0.03848837636343616
CES6562120001,977,-0.06079836233367453,-0.0420675537359263
