cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,max,tmax,total_workers_employed,worker_job_loss_rate
13540,"Bennington, VT",1612,0.5,0.5,1.1,201.3,190.9,14.3,123,16,4.3,3.8,15.7,41.9,13.2,-10.2,-30.5,149.3,24.9,802.5,48.1,1,1000,150,15195,0.10606
13620,"Berlin, NH-VT",1518,3.7,1.6,8.3,75.7,113.8,44.5,223.7,30.6,8,2.4,-2.5,37.5,7.8,29.5,-131.5,150.6,119.6,709.3,31.8,54,750,100,16509,0.09197
13660,"Big Rapids, MI",1822,0.5,4.9,2.9,42.6,261.9,34.3,70.9,24.6,5.5,4.2,15.8,28.1,4.7,123,452.2,147.9,87.5,416.1,59.4,35.1,500,100,15117,0.12052
13700,"Big Spring, TX",1130,0,425.5,3.9,68.7,34.4,31.6,20.9,7.2,9.2,-4.1,7.4,2.6,8.4,20,69.5,111.3,38.2,234.3,33.2,7.4,500,100,14472,0.07806
13720,"Big Stone Gap, VA",1062,0.2,66.7,3.2,-21.1,56.7,21.1,14.7,18.3,-5.6,10.6,12.4,15.8,4.1,95.9,47.1,259.8,43.6,280,24,114,500,100,19291,0.05503
13740,"Billings, MT",4425,0,148.6,3.7,218.8,212.3,204.6,581.6,102.1,174.2,117.7,71.1,195.3,51.4,19.1,42.4,283.4,191.2,1667.7,153.2,-12.7,2000,100,85374,0.05184
13780,"Binghamton, NY",12811,5,48.3,45.8,493.4,1075.5,561.7,1007.8,611.2,21.6,88.9,121.1,327,122.4,749.1,182,1615.7,464,3748.4,816.8,705.5,5000,150,104003,0.12318
13820,"Birmingham-Hoover, AL",21523,-21.2,-155,-238.3,48.3,1681,225.3,-236.4,-414.5,486,173.9,47.6,358,1204.4,3097.2,1737.7,5109.2,1803.8,5740.8,473.5,401.9,10000,100,479837,0.04486
13900,"Bismarck, ND",4696,0,552.5,26.2,549.1,70.4,218.9,184.7,428,27.6,56.9,62.1,76.3,-47.7,121.4,-17.2,715.2,270.2,1023.5,203.8,174.1,2000,100,70159,0.06693
13940,"Blackfoot, ID",362,-0.2,0.5,-2.8,1.8,-0.5,-13.8,-93.8,5.1,10.9,-20.7,-18.8,15.3,-0.2,2.9,236.8,17,94.8,73.4,44.6,10.1,250,100,18780,0.0193
13980,"Blacksburg-Christiansburg-Radford, VA",4064,1.3,10.9,7.6,-65.7,544.6,57.4,265.1,81.2,79.5,27.3,79.6,40.7,16.1,276.9,242.4,675,393.3,1088,114.5,128.2,2000,100,67470,0.06023
14010,"Bloomington, IL",5094,0,6.8,6.4,208.5,159.5,63.4,327.4,129.8,51.3,-41.2,88.2,186.3,86.3,240.7,344.3,525.3,343,1888.3,223.8,255.7,2000,150,86177,0.05911
14020,"Bloomington, IN",2854,1,-4.9,-2,94.1,449.4,61.7,239.5,44.3,112.4,17.9,33,3.6,3.5,-37.8,875.8,353.5,5.6,381.8,131.2,90.3,1000,100,63012,0.04529
14100,"Bloomsburg-Berwick, PA",2986,1,10.5,37,121,385,103.9,296.9,184,50,8.7,6,91.7,78.8,60.9,161.8,384.9,122.8,721.9,147.4,11.4,750,100,36101,0.08271
14140,"Bluefield, WV-VA",1541,0.9,79.4,6.8,-25,91,63.8,49.9,23.2,15.4,23.9,43,33.6,24.5,71,-231.7,364.4,70.9,675.4,52,108.4,750,100,36950,0.0417
14180,"Blytheville, AR",752,0,0.8,-5.8,16.1,487.4,-2.3,-63,-31.8,5.5,1.9,10.3,2.3,-5.3,41.7,-60.2,147.7,9.5,165.2,8.9,23.2,500,100,16155,0.04656
14220,"Bogalusa, LA",1107,1,46.1,2.1,171.9,49.5,31.9,36.8,42.4,37.6,9.3,9.1,55.7,5.3,50.4,-80.3,262.9,35,321.9,18.4,0.3,500,100,17984,0.06157
14260,"Boise City, ID",6097,-1.4,5.7,-59.4,32.3,-119.7,-291.1,-1011.2,208.7,516.9,-598.4,-414.6,512,-6.7,-212.3,3235.5,506.7,1487.6,1373.1,885.1,48.3,5000,150,307946,0.0198
14300,"Bonham, TX",753,0.4,44.4,3,73.6,71.8,31.6,25.3,10.6,13.7,-8,7.8,4.7,7.9,22,90.8,81.3,54.5,174.6,32.9,10.3,250,100,14020,0.05371
14340,"Boone, IA",514,0,1.3,-0.9,87.3,19.4,5.2,-36.5,4.3,1.4,11.2,-0.9,4.4,5,6.6,37.9,99.6,44.3,168.3,35.4,21,250,100,13144,0.03912
14380,"Boone, NC",1459,-0,-0.3,-0.3,36.9,72.6,14.9,73.3,9.7,14.5,1.8,25.2,22.1,12,-3.1,260.5,129.2,147.5,632.9,27.7,-17.7,750,150,18660,0.07821
14420,"Borger, TX",632,0,220.1,2.3,64,-0.1,8.5,14,3.3,3.1,-2.5,4.1,0.9,4.4,5.3,61.6,41.7,35.4,134.3,27,5,250,100,8603,0.07352
14460,"Boston-Cambridge-Newton, MA-NH",288536,14,107.3,770.7,12200.6,8063.8,10739.2,24820.7,17306.1,1164.2,1610,1846,8799.3,2805,11569.9,23743,36720.5,21084.7,77626.4,23457.7,4086.5,275000,650,2464508,0.11708
14500,"Boulder, CO",6954,0.5,110,6.6,227.9,-152.9,300.7,468.3,327.1,85,-65.3,235.3,-60.3,56.6,154.9,-36.6,853.2,754.8,2653,531.1,504.4,5000,100,141483,0.04915
14540,"Bowling Green, KY",4911,2.9,17.1,11.1,26.7,803.1,166.2,325.4,95.5,55.6,126.3,23.1,163.9,959,504.9,75.3,469.6,75.7,764.5,72.6,172.7,1000,100,70716,0.06945
14580,"Bozeman, MT",3154,0.1,3.8,4.9,208,244.5,61.3,399.3,76,105.3,56.2,24.8,155.7,18.8,32.5,23.9,142.8,152,1307.3,141.7,-4.5,2000,200,54390,0.05799
14620,"Bradford, PA",1448,4.5,62.6,7.3,58.4,236.3,50.7,108,59.1,22.1,4.9,2.4,30.1,12.6,21.3,78.9,189,57.5,339.6,97.8,5.3,500,100,16718,0.08664
14660,"Brainerd, MN",3331,6.5,25.2,-3,138.9,227.1,27.2,-161.1,65,35.6,4.5,49,52.6,13.5,-4.5,409.6,441.8,284.3,1386.5,163.9,168.1,2000,150,39507,0.08431
